agency_cd,site_no,site_number,station_nm,site_tp_cd,lat,long,dec_coord_datum_cd,district_cd,state,county_cd
USGS,4.15047E+14,415047074421701,SV  50SP,SP,41.8464787,-74.7043264,NAD83,36,NY,105
USGS,4.15353E+14,415353075050401,D 516,SP,41.8981434,-75.08405628,NAD83,36,NY,25
USGS,4.15534E+14,415534074040000,U 663,SP,41.9262035,-74.066252,NAD83,36,NY,111
USGS,4.15609E+14,415609074581101,D 555,SP,41.93605,-74.969875,NAD83,36,NY,25
USGS,4.15615E+14,415615074581901,D 554,SP,41.9375,-74.97203889,NAD83,36,NY,25
USGS,4.158E+14,415800075101801,D 567,SP,41.96684167,-75.1718,NAD83,36,NY,25
USGS,4.15942E+14,415942074030601,U  61,SP,41.99506944,-74.0516972,NAD83,36,NY,111
USGS,4.20239E+14,420239077324900,SB 315,SP,42.04423684,-77.5466538,NAD83,36,NY,101
USGS,4.20438E+14,420438074593500,D 498,SP,42.0773094,-74.9926641,NAD83,36,NY,25
USGS,4.20446E+14,420446074180902,U  33,SP,42.0797111,-74.3025861,NAD83,36,NY,111
USGS,4.20547E+14,420547078053001,AG 297,SP,42.09638889,-78.0916667,NAD83,36,NY,3
USGS,4.20547E+14,420547078055301,AG 295,SP,42.09638889,-78.0980556,NAD83,36,NY,3
USGS,4.20548E+14,420548078055301,AG 296,SP,42.09666667,-78.0980556,NAD83,36,NY,3
USGS,4.20758E+14,420758077481301,AG 277,SP,42.1328972,-77.8037056,NAD83,36,NY,3
USGS,4.20801E+14,420801074291101,U  35,SP,42.13379444,-74.48665278,NAD83,36,NY,111
USGS,4.20801E+14,420801074291103,U  36,SP,42.13379444,-74.48665278,NAD83,36,NY,111
USGS,4.20847E+14,420847074385801,D 324,SP,42.14653056,-74.6496194,NAD83,36,NY,25
USGS,4.20856E+14,420856074310401,D 294,SP,42.14897778,-74.51780278,NAD83,36,NY,25
USGS,4.20912E+14,420912073501601,CB 301,SP,42.1534224,-73.8373514,NAD83,36,NY,21
USGS,4.21017E+14,421017075321801,BM2900,SP,42.1714861,-75.5385306,NAD83,36,NY,7
USGS,4.21101E+14,421101077583801,AG 284,SP,42.1837,-77.9774972,NAD83,36,NY,3
USGS,4.21101E+14,421101077583901,AG 286,SP,42.18379444,-77.9776,NAD83,36,NY,3
USGS,4.21102E+14,421102077584101,AG 114,SP,42.18395739,-77.9777814,NAD83,36,NY,3
USGS,4.21123E+14,421123074470600,D 494,SP,42.18980875,-74.7846027,NAD83,36,NY,25
USGS,4.21133E+14,421133074461001,D 282,SP,42.19273889,-74.7695083,NAD83,36,NY,25
USGS,4.21202E+14,421202074595001,D 572,SP,42.20070278,-74.9974194,NAD83,36,NY,25
USGS,4.21405E+14,421405075040601,D 518,SP,42.23480707,-75.0679442,NAD83,36,NY,25
USGS,4.21408E+14,421408078521001,CT 220,SP,42.23561775,-78.86920268,NAD83,36,NY,9
USGS,4.21612E+14,421612073573201,G 826,SP,42.27008697,-73.9584648,NAD83,36,NY,39
USGS,4.21621E+14,421621078523101,CT 558,SP,42.27267778,-78.8754833,NAD83,36,NY,9
USGS,4.21652E+14,421652078495201,CT 557,SP,42.2812722,-78.8312417,NAD83,36,NY,9
USGS,4.21804E+14,421804078012001,AG 182,SP,42.30117897,-78.0219501,NAD83,36,NY,3
USGS,4.21807E+14,421807074150901,G 803,SP,42.302029,-74.2520875,NAD83,36,NY,39
USGS,4.21812E+14,421812074154601,G 804,SP,42.30341784,-74.2623656,NAD83,36,NY,39
USGS,4.21826E+14,421826074143701,G 670,SP,42.3073066,-74.2431982,NAD83,36,NY,39
USGS,4.21827E+14,421827074160103,G 720,SP,42.30758434,-74.2665323,NAD83,36,NY,39
USGS,4.2183E+14,421830074154101,G 725,SP,42.30841765,-74.2609766,NAD83,36,NY,39
USGS,4.21832E+14,421832074145901,G 726,SP,42.3095287,-74.2493096,NAD83,36,NY,39
USGS,4.2185E+14,421850074145801,G 671,SP,42.31397299,-74.2490317,NAD83,36,NY,39
USGS,4.21903E+14,421903074152302,G 675,SP,42.31758396,-74.2559763,NAD83,36,NY,39
USGS,4.2194E+14,421940077561301,AG 205,SP,42.32784575,-77.9366688,NAD83,36,NY,3
USGS,4.21941E+14,421941077561201,AG 278,SP,42.32820278,-77.9367,NAD83,36,NY,3
USGS,4.21944E+14,421944078520500,CT 623,SP,42.32895086,-78.8678125,NAD83,36,NY,9
USGS,4.22033E+14,422033074485101,D 552,SP,42.34250556,-74.8143694,NAD83,36,NY,25
USGS,4.22033E+14,422033078500102,CT 670,SP,42.34256219,-78.8333669,NAD83,36,NY,9
USGS,4.2204E+14,422040078065301,AG 218,SP,42.3445109,-78.1144532,NAD83,36,NY,3
USGS,4.22122E+14,422122078495200,CT 625,SP,42.35617325,-78.83086658,NAD83,36,NY,9
USGS,4.22347E+14,422347078355601,CT 581,SP,42.39660556,-78.5990778,NAD83,36,NY,9
USGS,4.22347E+14,422347078355602,CT 582,SP,42.39660556,-78.5990778,NAD83,36,NY,9
USGS,4.22347E+14,422347078355603,CT 583,SP,42.39660556,-78.5990778,NAD83,36,NY,9
USGS,4.22439E+14,422439077402801,SB 408,SP,42.41108056,-77.6747083,NAD83,36,NY,101
USGS,4.22738E+14,422738078470701,E1195,SP,42.46061736,-78.78503028,NAD83,36,NY,29
USGS,4.2281E+14,422810073253001,CB 280,SP,42.46952737,-73.424554,NAD83,36,NY,21
USGS,4.22818E+14,422818078573401,CT 526,SP,42.47172767,-78.959202,NAD83,36,NY,9
USGS,4.22818E+14,422818079103000,CU 859,SP,42.4717252,-79.1747624,NAD83,36,NY,13
USGS,4.22822E+14,422822078081201,AG 291,SP,42.47290278,-78.1369167,NAD83,36,NY,3
USGS,4.2283E+14,422830078080801,AG 234,SP,42.47506399,-78.13528639,NAD83,36,NY,3
USGS,4.22852E+14,422852074363603,SO 552,SP,42.48138056,-74.6102167,NAD83,36,NY,95
USGS,4.22853E+14,422853078294001,CT 671,SP,42.4814517,-78.4941872,NAD83,36,NY,9
USGS,4.22853E+14,422853078294002,CT 672,SP,42.4814517,-78.4941872,NAD83,36,NY,9
USGS,4.22855E+14,422855074362900,SO 600,SP,42.4820217,-74.60764978,NAD83,36,NY,95
USGS,4.22905E+14,422905078454301,E1191,SP,42.48478396,-78.7616959,NAD83,36,NY,29
USGS,4.22912E+14,422912077483001,LV 141,SP,42.4867335,-77.8080529,NAD83,36,NY,51
USGS,4.22922E+14,422922076175400,TM 291,SP,42.48951649,-76.2979887,NAD83,36,NY,109
USGS,4.22951E+14,422951078421001,E1190,SP,42.49756187,-78.7025271,NAD83,36,NY,29
USGS,4.22957E+14,422957078220601,CT 551,SP,42.49926944,-78.36843889,NAD83,36,NY,9
