agency,gross,site_number,sample_dt,sample_tm,p00060,p00630,p00631
USGS,1632835,1632835,7/18/2017,17:15,,,1.72
USGS,1632835,1632835,11/14/2017,14:15,,,1.11
USGS,1632835,1632835,2/20/2018,14:45,,,1.12
USGS,1632835,1632835,8/29/2018,14:00,,,1.86
USGS,1632835,1632835,10/23/2018,19:00,,,2.27
USGS,1632835,1632835,2/5/2019,14:00,,,3.5
USGS,1632835,1632835,5/29/2019,13:30,,,2.58
USGS,1632835,1632835,8/15/2019,12:45,,,2.28
USGS,163285551,163285551,7/18/2012,10:00,,,4.21
USGS,163285551,163285551,11/6/2012,16:15,,,4.43
USGS,163285551,163285551,1/29/2013,12:30,,,4.44
USGS,163285551,163285551,5/1/2013,10:00,,,4.77
USGS,163285551,163285551,5/28/2014,9:45,,,4.94
USGS,163285551,163285551,10/8/2014,15:45,,,4.46
USGS,163285551,163285551,3/18/2015,14:30,,,4.68
USGS,163285551,163285551,6/10/2015,16:15,,,4.63
USGS,163285551,163285551,3/3/2016,14:45,,,5.43
USGS,163285551,163285551,7/12/2016,16:30,,,5.08
USGS,163285551,163285551,9/20/2016,12:45,,,4.57
USGS,163285551,163285551,12/15/2016,10:00,,,4.62
USGS,163285551,163285551,3/21/2017,12:00,,,4.57
USGS,163285551,163285551,7/18/2017,15:15,,,4.79
USGS,163285551,163285551,11/14/2017,13:00,,,4
USGS,163285551,163285551,2/20/2018,13:30,,,4.85
USGS,163285551,163285551,8/29/2018,12:45,,,5.48
USGS,163285551,163285551,10/23/2018,17:00,,,5.55
USGS,163285551,163285551,2/5/2019,13:00,,,5.58
USGS,163285551,163285551,5/29/2019,12:45,,,4.62
USGS,163285551,163285551,8/15/2019,11:45,,,4.69
USGS,163285591,163285591,7/18/2012,9:00,,,0.04
USGS,163285591,163285591,11/6/2012,15:00,,,0.298
USGS,163285591,163285591,1/29/2013,12:00,,,1.45
USGS,162906055,162906055,10/18/2016,9:45,,,0.48
