agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,district_cd,state,county_cd,map_nm,huc_cd
USGS,3.83502E+14,383502077230601,51SS  3,SP,38.58400907,-77.3847061,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.83515E+14,383515077225201,51SS  4,SP,38.58762,-77.3808172,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.83601E+14,383601077251801,51SS  6,SP,38.60012,-77.4213737,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.83603E+14,383603077251401,51SS  5,SP,38.59928669,-77.4208181,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.84E+14,384000078480901,40TS  1,SP,38.66678369,-78.80224529,NAD83,51,VA,165,TIMBERVILLE,2070006
USGS,3.847E+14,384700078155601,44US  2,SP,38.7833611,-78.2655972,NAD83,51,VA,187,BENTONVILLE,2070005
USGS,3.84718E+14,384718078151901,44US  1,SP,38.7881972,-78.25525,NAD83,51,VA,187,BENTONVILLE,2070005
USGS,3.84718E+14,384718078155801,44US  6,SP,38.78821944,-78.2662333,NAD83,51,VA,187,BENTONVILLE,2070005
USGS,3.84822E+14,384822077315101,50U 84F,SP,38.8059477,-77.5308235,NAD83,51,VA,153,GAINESVILLE,2070008
USGS,3.8495E+14,384950078201901,44US  7,SP,38.83065,-78.3385278,NAD83,51,VA,187,BENTONVILLE,2070005
USGS,3.84956E+14,384956078140001,45US  3,SP,38.83229167,-78.23323889,NAD83,51,VA,187,CHESTER GAP,2070005
USGS,3.84958E+14,384958078144101,45US  8,SP,38.83286944,-78.2448,NAD83,51,VA,187,CHESTER GAP,2070005
USGS,3.85001E+14,385001078145601,45US 11,SP,38.8335861,-78.2489806,NAD83,51,VA,187,CHESTER GAP,2070005
USGS,3.85004E+14,385004078134801,45US  4,SP,38.834525,-78.2301,NAD83,51,VA,187,CHESTER GAP,2070005
USGS,3.85035E+14,385035077322001,50U 83C,SP,38.84233568,-77.538046,NAD83,51,VA,153,GAINESVILLE,2070010
