site_number,nitrate,GPM,state
393722077484601,,,MD
393724077481701,,,MD
393725077522501,,,MD
393732077522201,,,MD
393738077484201,,,MD
393739077425101,,,MD
393740077425201,,,MD
393741079074301,,,MD
393743077582101,,,MD
393745077424501,,,MD
393745077562201,,,MD
393748076395701,,,MD
393754079071401,,,MD
393757076240101,,,MD
393800076240101,0.2,,MD
393801079025401,,,MD
393802077435501,,,MD
393802077435801,,,MD
393805077435401,,,MD
393807077435301,8.2,,MD
393807077481001,,,MD
393810076531701,4.4,,MD
393810078374701,,,MD
393811079060801,,,MD
393815077435301,,,MD
393822077434801,,,MD
393824077512201,,,MD
393826077315701,0.89,,MD
393826078512501,,,MD
393827079071301,,,MD
393829077334201,,,MD
393831077382101,,,MD
393834076432901,,,MD
393835077225301,,,MD
393835077225302,,,MD
393837077335601,,,MD
393838076553801,,,MD
393840076432101,,,MD
393841076430901,1,,MD
393848078000801,,,MD
393848078000802,,,MD
393849077292201,1.8,,MD
393850076391501,,,MD
393850076430101,,,MD
393850076592401,,,MD
393850077292001,3.8,,MD
393850077292301,3.5,,MD
393853077284801,2.1,,MD
393859076244001,,,MD
393859077292301,2.8,,MD
393902076423801,,,MD
393902078293001,,,MD
393903077535701,,,MD
393905077582401,,,MD
393907077395301,,,MD
393912078162401,,,MD
393915077283801,1.06,,MD
393918075523201,,,MD
393918077332201,,,MD
393919076375901,,,MD
393919077554901,,,MD
393919077575801,,,MD
393920077284101,0.93,,MD
393921078460701,,,MD
393921079051201,,,MD
393923077284301,1.14,,MD
393928077311601,,,MD
393928077572201,,,MD
393933077324801,,,MD
393936077542101,,,MD
393938076533501,,,MD
393938077293401,0.516,,MD
393939077293801,2.3,,MD
393940078371001,,,MD
393941076533301,,,MD
393948078253701,,,MD
393950079000201,,,MD
393952077353201,,,MD
393956077270201,,,MD
393956078295901,,,MD
393957077323101,,,MD
393958077532001,,,MD
394001077220101,,,MD
394001078594601,,,MD
394003077423801,,,MD
394004077284001,0.5935,,MD
394007077211101,,,MD
394009077432701,,,MD
394010078150701,,,MD
394013077232201,,,MD
394014076412601,,,MD
394014078362101,,,MD
394018078562001,,,MD
394019078580801,,,MD
394020077465901,,,MD
394023076401001,1.6,,MD
394023077324201,1.05,,MD
394023077470501,,,MD
394023078381901,,,MD
394024076413401,,,MD
394024077465401,,,MD
394025076404601,,,MD
394026076401601,,,MD
394026077473301,,,MD
394027077473301,,,MD
394027078584501,,,MD
394028078010701,,,MD
394030078585201,,,MD
394032076412901,,,MD
394032078015501,,,MD
394034076392001,,,MD
394034077452601,,,MD
394035077215801,,,MD
394035079003901,,,MD
394036078481401,,,MD
394037078415301,,,MD
394038079002601,,,MD
394039077561001,,,MD
394040077341901,,,MD
394040077551301,,,MD
394042076410001,,,MD
394042077405801,,,MD
394043077280801,1.4,,MD
394044075523701,,,MD
394045076411601,,,MD
394045077290401,1.355,,MD
394049077343401,,,MD
394051077242201,,,MD
394055077212301,,,MD
394057077342501,,,MD
394057077500901,,,MD
394058077561501,,,MD
394100078174401,,,MD
394101077450901,,,MD
394103076113701,,,MD
394105077450701,,,MD
394106077495701,,,MD
394107077582501,,,MD
394108076395601,,,MD
394109077573201,,,MD
394109078341201,,,MD
394109078341202,,,MD
394109078351701,,,MD
394110078341301,,,MD
394112078132201,,,MD
394114077303801,,,MD
394115076534601,,,MD
394116077572601,,,MD
394116078343501,,,MD
394117078343101,,,MD
394119078343101,,,MD
394119078391501,,,MD
394121077335101,,,MD
394121078133201,,,MD
394122077494201,,,MD
394123077315201,,,MD
394124078390101,,,MD
394125078010801,,,MD
394127077303301,,,MD
394127077565101,,,MD
394132077321101,,,MD
394136077563601,,,MD
394137078013301,,,MD
394138078014801,,,MD
394138078534101,,,MD
